URL,Title,Visit Time,Visit Count,Visited From,Visit Type,Web Browser,User Profile,Browser Profile,URL Length,Typed Count
https://www.winpcap.org/,WinPcap - Home,2018/5/16 12:17:01,1,http://www.winpcap.org/,Auto TopLevel,Chrome,mayu2,Default,24,0
http://www.winpcap.org/,WinPcap - Home,2018/5/16 12:17:01,1,,Auto TopLevel,Chrome,mayu2,Default,23,0
https://mp.weixin.qq.com/s?src=11&timestamp=1526317981&ver=876&signature=tBUVpfkuxQ8aVdkmFKdPsQK-oQrtSwR67W67Xdb37FUcqovQkWeVXFMTKO04f0rkxvrazUG9RorVGMAlArQyPX3UwSgdSCdNnR24RFjLox*diE8ZYURurKSs2SClsNOs&new=1,考研竞赛数学,2018/5/16 12:15:26,1,,Reload,Chrome,mayu2,Default,207,0
https://mp.weixin.qq.com/s?timestamp=1526314914&src=3&ver=1&signature=VRD4Jbb4n*R*XG0jPPrej5NUhy9sYVnzSK8av5egFdMCDhKGzbnZRZct3Cpjm79fmQKXrJtV*UFz*QRHswoEVJMUr7VXjDZh7esnNkKlQBPyIu6vX1w44x9cTDRvLnudrdL0p-RpdfiC1JKKzuGqYnrsSTK6kvQ8wEJ1PNRV-Ek=,https://mp.weixin.qq.com/s?timestamp=1526314914&src=3&ver=1&signature=VRD4Jbb4n*R*XG0jPPrej5NUhy9sYVnzSK8av5egFdMCDhKGzbnZRZct3Cpjm79fmQKXrJtV*UFz*QRHswoEVJMUr7VXjDZh7esnNkKlQBPyIu6vX1w44x9cTDRvLnudrdL0p-RpdfiC1JKKzuGqYnrsSTK6kvQ8wEJ1PNRV-Ek=,2018/5/16 12:15:26,1,,Reload,Chrome,mayu2,Default,242,0
https://mp.weixin.qq.com/s?src=11&timestamp=1526369522&ver=877&signature=jp12LeiZiQ0h6up0UJIdEHUZidwHaybv1x1G6MGPdHD-UpsG2DxcCGYVt8owgZmG2smKR8tiJQCAi1Z2mQIBsEwPAd5994HnQLeoPPle5*N36lB*TsHF2x7c2njA2zYv&new=1,https://mp.weixin.qq.com/s?src=11&timestamp=1526369522&ver=877&signature=jp12LeiZiQ0h6up0UJIdEHUZidwHaybv1x1G6MGPdHD-UpsG2DxcCGYVt8owgZmG2smKR8tiJQCAi1Z2mQIBsEwPAd5994HnQLeoPPle5*N36lB*TsHF2x7c2njA2zYv&new=1,2018/5/16 12:15:26,1,,Reload,Chrome,mayu2,Default,207,0
https://mp.weixin.qq.com/s?src=11&timestamp=1526369522&ver=877&signature=jp12LeiZiQ0h6up0UJIdEHUZidwHaybv1x1G6MGPdHDf1JwBDdRywZ0Oi4iNnu3kYD6RhvR2aDl-4H0LdGIhZNlXusx9irvL*B9RqcrZE22bn9gvvrsGPgSsqoke4n5b&new=1,https://mp.weixin.qq.com/s?src=11&timestamp=1526369522&ver=877&signature=jp12LeiZiQ0h6up0UJIdEHUZidwHaybv1x1G6MGPdHDf1JwBDdRywZ0Oi4iNnu3kYD6RhvR2aDl-4H0LdGIhZNlXusx9irvL*B9RqcrZE22bn9gvvrsGPgSsqoke4n5b&new=1,2018/5/16 12:15:24,1,,Reload,Chrome,mayu2,Default,207,0
https://mp.weixin.qq.com/s?src=11&timestamp=1526371003&ver=877&signature=jp12LeiZiQ0h6up0UJIdEHUZidwHaybv1x1G6MGPdHA7uU6UV1qj2Mx5wdo71u7vFzKNa16jcuc*t2foyTSITcbiTFocnMJ6sk0rsWmKdhaCHhhJJc*VoWvqa5DO5034&new=1,https://mp.weixin.qq.com/s?src=11&timestamp=1526371003&ver=877&signature=jp12LeiZiQ0h6up0UJIdEHUZidwHaybv1x1G6MGPdHA7uU6UV1qj2Mx5wdo71u7vFzKNa16jcuc*t2foyTSITcbiTFocnMJ6sk0rsWmKdhaCHhhJJc*VoWvqa5DO5034&new=1,2018/5/16 12:15:23,1,,Reload,Chrome,mayu2,Default,207,0
https://mp.weixin.qq.com/s?src=11&timestamp=1526371003&ver=877&signature=jp12LeiZiQ0h6up0UJIdEHUZidwHaybv1x1G6MGPdHC7GTBsXdjP-wX0Q5AM*7w8bdtBx0ooSOji71YSYPYI0C1ugTCu*9dcnvgD79Lu0LlcjJQsbuvi3YmJvKdqwcIl&new=1,https://mp.weixin.qq.com/s?src=11&timestamp=1526371003&ver=877&signature=jp12LeiZiQ0h6up0UJIdEHUZidwHaybv1x1G6MGPdHC7GTBsXdjP-wX0Q5AM*7w8bdtBx0ooSOji71YSYPYI0C1ugTCu*9dcnvgD79Lu0LlcjJQsbuvi3YmJvKdqwcIl&new=1,2018/5/16 12:15:23,1,,Reload,Chrome,mayu2,Default,207,0
http://www.sohu.com/a/224921953_600110,,2018/5/16 12:15:21,1,,Reload,Chrome,mayu2,Default,38,0
http://weixin.sogou.com/weixin?type=2&ie=utf8&query=%E5%88%87%E7%BA%BF%E6%96%B9%E7%A8%8B&tsn=0&ft=&et=&interation=&wxid=oIWsFt-OBI0daqQ_mtl23uDx0xaE&usip=%E8%80%83%E7%A0%94%E7%AB%9E%E8%B5%9B%E6%95%B0%E5%AD%A6,,2018/5/16 12:15:20,1,,Reload,Chrome,mayu2,Default,208,0
